Hottest Day: 29.0°C
Day with Highest Rainfall: 12.0 mm
----------------------------------------
Average Maximum Temperature per Month:
  Month 1: 24.39°C
  Month 2: 24.39°C
  Month 3: 24.39°C
  Month 4: 24.39°C
  Month 5: 24.39°C
  Month 6: 24.39°C
  Month 7: 24.39°C
  Month 8: 24.39°C
  Month 9: 24.39°C
  Month 10: 24.39°C
  Month 11: 24.39°C
  Month 12: 24.39°C
  Month 13: 24.39°C
  Month 14: 24.39°C
  Month 15: 24.39°C
  Month 16: 24.39°C
  Month 17: 24.39°C
  Month 18: 24.39°C
  Month 19: 24.39°C
  Month 20: 24.39°C
  Month 21: 24.39°C
  Month 22: 24.39°C
  Month 23: 24.39°C
  Month 24: 24.39°C
  Month 25: 24.39°C
  Month 26: 24.39°C
  Month 27: 24.39°C
  Month 28: 24.39°C
  Month 29: 24.39°C
  Month 30: 24.39°C
  Month 31: 24.39°C
  Month 32: 24.39°C
  Month 33: 24.39°C
  Month 34: 24.39°C
  Month 35: 24.39°C
  Month 36: 24.39°C
  Month 37: 24.39°C
  Month 38: 24.39°C
  Month 39: 24.39°C
  Month 40: 24.39°C
  Month 41: 24.39°C
  Month 42: 24.39°C
  Month 43: 24.39°C
  Month 44: 24.39°C
  Month 45: 24.39°C
  Month 46: 24.39°C
  Month 47: 24.39°C
  Month 48: 24.39°C
  Month 49: 24.39°C
  Month 50: 24.39°C
------------------------------
Average Minimum Temperature per Month:
  Month 1: 11.97°C
  Month 2: 11.97°C
  Month 3: 11.97°C
  Month 4: 11.97°C
  Month 5: 11.97°C
  Month 6: 11.97°C
  Month 7: 11.97°C
  Month 8: 11.97°C
  Month 9: 11.97°C
  Month 10: 11.97°C
  Month 11: 11.97°C
  Month 12: 11.97°C
  Month 13: 11.97°C
  Month 14: 11.97°C
  Month 15: 11.97°C
  Month 16: 11.97°C
  Month 17: 11.97°C
  Month 18: 11.97°C
  Month 19: 11.97°C
  Month 20: 11.97°C
  Month 21: 11.97°C
  Month 22: 11.97°C
  Month 23: 11.97°C
  Month 24: 11.97°C
  Month 25: 11.97°C
  Month 26: 11.97°C
  Month 27: 11.97°C
  Month 28: 11.97°C
  Month 29: 11.97°C
  Month 30: 11.97°C
  Month 31: 11.97°C
  Month 32: 11.97°C
  Month 33: 11.97°C
  Month 34: 11.97°C
  Month 35: 11.97°C
  Month 36: 11.97°C
  Month 37: 11.97°C
  Month 38: 11.97°C
  Month 39: 11.97°C
  Month 40: 11.97°C
  Month 41: 11.97°C
  Month 42: 11.97°C
  Month 43: 11.97°C
  Month 44: 11.97°C
  Month 45: 11.97°C
  Month 46: 11.97°C
  Month 47: 11.97°C
  Month 48: 11.97°C
  Month 49: 11.97°C
  Month 50: 11.97°C
